name	kind	signature	realisations	status	origin	source
Array	structure	ARRAY		required	claimed	lib/basis/array.sml
Array2	structure	ARRAY2		optional	claimed	lib/basis/array2.sml
ArraySlice	structure	ARRAY_SLICE		required	claimed	lib/basis/arrayslice.sml
BinIO	structure	BIN_IO		required	claimed	lib/basis/binio.sml
BinIO	structure	IMPERATIVE_IO		required	claimed	lib/basis/binio.sml
BinIO.StreamIO	structure	STREAM_IO	where type vector = Word8Vector.vector where type elem = Word8.word where type reader = BinPrimIO.reader where type writer = BinPrimIO.writer where type pos = Position.int	required	claimed	lib/basis/binio.sml
BinPrimIO	structure	PRIM_IO	where type array = Word8Array.array where type vector = Word8Vector.vector where type elem = Word8.word where type pos = Position.int	required	claimed	lib/basis/binprimio.sml
Bool	structure	BOOL		required	claimed	lib/basis/bool.sml
BoolArray	structure	MONO_ARRAY	where type vector = BoolVector.vector where type elem = bool	optional	claimed	lib/basis/mono_bool.sml
BoolArray2	structure	MONO_ARRAY2	where type vector = BoolVector.vector where type elem = bool	optional	claimed	lib/basis/mono_bool.sml
BoolArraySlice	structure	MONO_ARRAY_SLICE	where type vector = BoolVector.vector where type vector_slice = BoolVectorSlice.slice where type array = BoolArray.array where type elem = bool	optional	claimed	lib/basis/mono_bool.sml
BoolVector	structure	MONO_VECTOR	where type elem = bool	optional	claimed	lib/basis/mono_bool.sml
BoolVectorSlice	structure	MONO_VECTOR_SLICE	where type vector = BoolVector.vector where type elem = bool	optional	claimed	lib/basis/mono_bool.sml
Byte	structure	BYTE		required	claimed	lib/basis/byte.sml
Char	structure	CHAR	where type char = char where type string = String.string	required	claimed	lib/basis/char.sml
CharArray	structure	MONO_ARRAY	where type vector = CharVector.vector where type elem = char	required	claimed	lib/basis/chararray.sml
CharArray2	structure	MONO_ARRAY2	where type vector = CharVector.vector where type elem = char	optional	claimed	lib/basis/chararray2.sml
CharArraySlice	structure	MONO_ARRAY_SLICE	where type vector = CharVector.vector where type vector_slice = CharVectorSlice.slice where type array = CharArray.array where type elem = char	required	claimed	lib/basis/chararrayslice.sml
CharVector	structure	MONO_VECTOR	where type vector = String.string where type elem = char	required	claimed	lib/basis/charvector.sml
CharVectorSlice	structure	MONO_VECTOR_SLICE	where type slice = Substring.substring where type vector = String.string where type elem = char	required	claimed	lib/basis/charvectorslice.sml
CommandLine	structure	COMMAND_LINE		required	claimed	lib/basis/commandline.sml
Date	structure	DATE		required	claimed	lib/basis/date.sml
General	structure	GENERAL		required	claimed	lib/basis/general.sml
GenericSock	structure	GENERIC_SOCK		optional	claimed	lib/basis/inetsock.sml
IEEEReal	structure	IEEE_REAL		optional	claimed	lib/basis/ieeereal.sml
INetSock	structure	INET_SOCK		optional	claimed	lib/basis/inetsock.sml
IO	structure	IO		required	claimed	lib/basis/io.sml
Int	structure	INTEGER		required	claimed	lib/basis/int.sml
Int16	structure	INTEGER		optional	claimed	lib/basis/int16.sml
Int16Array	structure	MONO_ARRAY	where type vector = Int16Vector.vector where type elem = Int16.int	optional	claimed	lib/basis/mono_int16.sml
Int16Array2	structure	MONO_ARRAY2	where type vector = Int16Vector.vector where type elem = Int16.int	optional	claimed	lib/basis/mono_int16.sml
